Provinsi,UHH,HLS,RLS,PRK,PPM,IPM,TPT,AMH
Aceh,73.06,14.38,9.55,10.33,14.45,74.70,6.03,99.93
Sumatera Utara,73.67,13.48,9.82,11.05,8.15,75.13,5.89,99.95
Sumatera Barat,74.14,14.11,9.28,11.38,5.95,75.64,5.94,99.91
Riau,74.18,13.30,9.32,11.45,6.68,75.95,4.23,99.93
Jambi,73.84,13.13,8.81,11.16,7.58,73.73,4.53,99.86
Sumatera Selatan,74.04,12.63,8.50,11.47,11.78,73.18,4.11,99.94
Bengkulu,73.11,13.74,9.03,11.17,14.04,74.30,3.42,99.9
Lampung,74.17,12.77,8.29,10.77,11.11,72.48,4.23,99.91
Bangka Belitung,73.90,12.31,8.25,13.59,4.52,74.09,4.56,99.97
Riau,74.90,13.05,10.41,15.00,5.69,79.08,6.8,99.96
Daerah Khusus Jakarta,75.81,13.33,11.45,19.37,4.44,83.55,6.53,99.91
Jawa Barat,74.91,12.68,8.83,11.70,7.62,74.24,7.44,99.97
Jawa Tengah,74.69,12.85,8.01,11.84,10.77,73.39,5.13,99.95
Yogyakarta,75.18,15.66,9.83,14.92,11.04,81.09,3.69,99.95
Jawa Timur,74.87,13.38,8.11,12.42,10.35,74.65,4.88,99.94
Banten,74.77,13.09,9.15,12.60,6.17,75.77,7.52,99.91
Bali,74.88,13.58,9.45,14.38,4.25,78.01,2.69,99.92
Nusa Tenggara Barat,72.02,13.97,7.74,11.10,13.85,72.37,2.8,99.82
Nusa Tenggara Timur,71.57,13.22,7.82,8.25,19.96,68.40,3.14,99.6
Kalimantan Barat,73.71,12.67,7.71,9.81,6.71,70.47,5.05,99.92
Kalimantan Tengah,73.54,12.76,8.73,11.88,5.11,73.73,4.1,99.78
Kalimantan Selatan,73.97,12.86,8.55,12.95,4.29,74.66,4.31,99.93
Kalimantan Timur,74.72,14.02,9.99,13.20,6.11,78.20,5.31,99.95
Kalimantan Utara,73.54,13.20,9.34,9.73,6.45,72.88,4.01,99.59
Sulawesi Utara,73.85,12.96,9.77,11.50,7.38,75.04,6.1,99.93
Sulawesi Tengah,70.66,12.33,8.96,10.15,12.41,71.66,2.95,99.81
Sulawesi Selatan,73.63,13.54,8.76,11.84,8.7,74.60,4.33,99.87
Sulawesi Tenggara,71.97,13.70,9.31,10.12,11.43,72.94,3.15,99.8
Gorontalo,70.50,13.16,8.10,11.07,15.15,71.25,3.06,99.78
Sulawesi Barat,70.76,12.88,8.13,9.78,11.49,69.80,2.27,99.58
Maluku  ,70.45,14.08,10.20,9.28,16.42,72.75,6.31,99.96
Maluku Utara,70.76,12.74,9.26,8.83,6.46,70.89,4.31,99.88
Papua Barat,68.51,13.34,7.93,8.40,20.49,67.47,5.38,99.66
Papua,68.17,11.15,7.15,7.56,26.03,63.01,2.67,93.57
,,,,,,,,
,,,,,,,,
,,,,,,,,
